,title,description,type,rating
5372,Sanai Choughade,"In an effort to honor the family matriarch's dying wish, Urmila and her husband, Shrikant, embark on a quest to find a husband for charismatic yet choosey Sai. But some things are easier said than done.",Movie,TV-14
5373,Sand Castle,"After the invasion of Iraq in 2003, a reluctant soldier's platoon is dispatched on a dangerous mission to repair a hostile village's water system.",Movie,TV-MA
5374,Sand Storm,"When a Bedouin patriarch takes a second bride, his first wife chafes against her changing status while his daughter chases her own dreams of autonomy.",Movie,TV-PG
5375,Sandy Wexler,"When a hapless but dedicated talent manager signs his first client who actually has talent, his career finally starts to take off.",Movie,TV-14
5376,Sangam,"Returning home from war after being assumed dead, a pilot weds the woman he has long loved, unaware that she had been planning to marry his best friend.",Movie,TV-14
5377,Sanju,"From the depths of addiction to the heights of stardom to underworld entanglements, this biopic traces the checkered past of Indian actor Sanjay Dutt.",Movie,TV-MA
5378,SanPa: Sins of the Savior,"Amidst a heroin crisis, Vincenzo Muccioli cared for the addicted, earning him fierce public devotion — even as charges of violence began to mount.",TV Show,TV-MA
5379,Santa Banta Pvt Ltd,"Passed off as spies, two inept pals are sent to Fiji to rescue a kidnapped bureaucrat. Soon enough, they’re creating more problems than they’re solving.",Movie,TV-14
5380,Santa Clarita Diet,They're ordinary husband and wife realtors until she undergoes a dramatic change that sends them down a road of death and destruction. In a good way.,TV Show,TV-MA
5381,Santa Claws,"When a gift sack full of kittens gives Santa a bad allergic reaction, the kitties have to take over and deliver the presents on time.",Movie,TV-PG
5382,Santa Girl,"Fleeing the family business and an arranged marriage, Santa’s daughter chooses a magical adventure of her own: College.",Movie,TV-PG
5383,Santa Pac's Merry Berry Day,Pac aims to keep Berry Day the happiest day ever by unraveling a curious mystery about his parents and thwarting Betrayus's plan to capture Santa Pac.,Movie,TV-Y
5385,Santana,Two brothers — one a narcotics agent and the other a general — finally discover the identity of the drug lord who murdered their parents decades ago.,Movie,TV-MA
5386,Santo Cachón,A man whose wife is repeatedly cheating on him turns to his friends for support in this wacky comedy.,Movie,TV-14
5387,Sara's Notebook,"A naive Madrid lawyer travels to Africa to search for her younger sister, who has gone missing in a part of Congo plagued by violence and strife.",Movie,TV-MA
5388,Sarah Cooper: Everything's Fine,"Comedian and Trump lip-synching sensation Sarah Cooper tackles politics, race and other light topics in a sketch special packed with celebrity guests.",Movie,TV-MA
5389,Sarah Silverman A Speck of Dust,"In her first comedy special post-health scare, Sarah Silverman shares a mix of fun facts, sad truths and yeah-she-just-went-there moments.",Movie,TV-MA
5390,Sarah's Key,"Paris, 1942: To protect her brother from the police arresting Jewish families, a young girl hides him away, promising to come back for him.",Movie,PG-13
5391,Sarajevo,"Tasked with unraveling the assassination of Archduke Franz Ferdinand, an honorable magistrate finds himself targeted by the shadowy perpetrators.",Movie,TV-PG
5392,Sardaar ji,"When a palatial wedding venue turns out to be haunted, one of the families hosting the wedding hires a fearless Sikh to deal with the ghost.",Movie,TV-14
5393,Sardaarji 2,A simple farmer's life becomes complicated after he resolves to save his village from an economic crisis by traveling to Australia to earn money.,Movie,TV-PG
5394,Sarivar Sari,"Raised in working-class Mumbai, Manisha has an independent spirit that angers her father, who favors Manisha's medical student sister, Mini. Things reach a breaking point when Manisha's father beats her for accepting a modeling contract.",Movie,TV-14
5395,Sarkar,A ruthless businessman’s mission to expose electoral fraud brings him into a heated and dangerous political conflict with two corrupt ministers.,Movie,TV-MA
5396,Sarvam Thaala Mayam (Tamil Version),"An aspiring musician battles age-old caste divides to be able to learn the art of a classical instrument from a traditionalist, veteran percussionist.",Movie,TV-14
5397,Sarvam Thaala Mayam (Telugu Version),"An aspiring musician battles age-old caste divides to be able to learn the art of a classical instrument from a traditionalist, veteran percussionist.",Movie,TV-14
5398,Sarvopari Palakkaran,"In the course of a human trafficking investigation, a conservative cop crosses paths with an artist-activist in a clash of worldviews.",Movie,TV-14
5399,Sat Shri Akaal England,"After several failed attempts to obtain a visa, a man desperate to escape Punjab pays a British woman to marry him so he can move to England.",Movie,TV-14
5400,Sat Sri Akal,"Based on true events, this moving story centers on a Punjabi family whose celebration of their faith endures in the face of conflicting attitudes.",Movie,TV-14
5401,Satan & Adam,An aging blues guitarist and a grad student form an unlikely duo while busking on the street corners of 1980s Harlem.,Movie,TV-MA
5402,Satrangi,Young musicians from 13 states in India demonstrate their cultural heritage by performing regional folk music using traditional instruments.,TV Show,TV-PG
5403,Satrangi Re,"Friends in their last year of college contemplate the future of their band as they juggle questions of love, work, family and identity.",Movie,TV-14
5405,Satte Pe Satta,"The eldest of seven brothers who run a family farm together marries a pretty nurse, inspiring his country-bumpkin siblings to follow his example.",Movie,TV-14
5406,Satu Hari,"A man haunted by his wife's affair moves to Sarajevo and starts to love again, until fate forces him to choose between his new life and old loyalty.",TV Show,TV-PG
5407,Saturday Church,A teen struggling with gender identity and family tensions seeks hope and support in New York City's underground LGBTQ ballroom community.,Movie,TV-MA
5408,Satyagraha,"In this Bollywood drama, a corporate go-getter sees his priorities shift when personal tragedy brings him face-to-face with political corruption.",Movie,TV-14
5409,Saudi Arabia Uncovered,"Undercover cameras expose public floggings, executions and other brutality in Saudi Arabia, and introduce those risking their own lives for change.",Movie,TV-14
5410,Savage Dog,A former professional boxer serving time in a brutal labor camp must fight incredible odds to gain his freedom and avenge an act of violence.,Movie,TV-MA
5411,Savage Raghda,"Desperate to support his son, a single father uses his talent with makeup to dress up as a woman to try out for a part in a commercial.",Movie,TV-MA
5412,Save Me,Four young men come to the rescue of a former classmate whose family has been sucked into the clutches of a religious cult and its charismatic leader.,TV Show,TV-MA
5414,Saverio Raimondo: Il Satiro Parlante,"Italian comic and satirist Saverio Raimondo regales a Milan crowd with tales of online antics, awkward injuries and white-knuckle flights.",Movie,TV-MA
5415,Saving Capitalism,Former Secretary of Labor Robert Reich meets with Americans from all walks of life as he chronicles a seismic shift in the nation's economy.,Movie,TV-PG
5416,Saving Mr. Banks,"When Walt Disney sets his sights on obtaining the rights to the children's classic ""Mary Poppins,"" the book's author proves a tough nut to crack.",Movie,PG-13
5417,Saving Zoë,A reserved high school freshman acts out when she recovers a diary that offers clues to a secret world that could be behind her sister's murder.,Movie,R
5418,Savita Damodar Paranjpe,"When his wife begins to exhibit alarming behavior, a husband tries to find whether she suffers from a personality disorder or something more sinister.",Movie,TV-14
5419,Say I Do,"In this reality show, couples overcome obstacles to celebrate their love in surprise dream weddings designed by three experts in less than a week.",TV Show,TV-14
5420,Say When,"Desperately clinging to her youth, 28-year-old Megan tells her boyfriend she's attending a career seminar but hangs out with a teenage friend instead.",Movie,R
5421,Sayed the Servant,"While running from the law, Sayed begins to work as a house servant to a wealthy family, whose divorced daughter enlists his help in a marriage scheme.",Movie,TV-14
5423,SCAMS,"Hit hard by the Lehman shock, a well-meaning young man joins a phone scam operation and gets increasingly embroiled in the underworld.",TV Show,TV-14
5424,Scandal,"A powerful team of Washington, D.C. lawyers makes scandals disappear while handling government crises and coping with problems of their own.",TV Show,TV-14
5425,Scandal in Sorrento,"When a marshal moves back to his hometown, he finds a woman renting his property who refuses to leave but soon captures his affection.",Movie,TV-PG
5426,Scare Tactics,This ghoulish but hilarious hidden-camera show from Syfy finds mischievous friends and family members setting up unsuspecting victims for elaborate pranks that use high-quality makeup and special effects to unleash their worst fears upon them.,TV Show,TV-MA
5427,Scarecrow,"When his former partners vote to sell off a pricey piece of stolen jewelry, a thief recruits his grandson to help him retain it and repent for his deed.",Movie,TV-MA
5428,Scary Movie,"The Wayans brothers spoof some of Hollywood's biggest blockbusters, including Scream, I Know What You Did Last Summer, The Matrix and American Pie.",Movie,R
5429,Scary Movie 5,"Taking aim at not only the horror genre but also films like ""Black Swan"" and ""Inception,"" ""Scary Movie 5"" widens the franchise's scope of mockery.",Movie,PG-13
5430,Schindler's List,"Oskar Schindler becomes an unlikely humanitarian, spending his entire fortune to help save 1,100 Jews from Auschwitz during World War II.",Movie,R
5431,Schitt's Creek,"Suddenly broke, the formerly filthy-rich Rose family is reduced to living in a ramshackle motel in a town they once bought as a joke: Schitt's Creek.",TV Show,TV-MA
5432,School Daze,"At a Historically Black College, a student activist and his cousin pledging a fraternity navigate social divides amid parties, protests and conflicts.",Movie,R
5433,School Life,"In one of the poorest areas of Paris, a school counselor devotes herself to working with disadvantaged students, while facing challenges of her own.",Movie,TV-MA
5434,Schubert In Love,"The last of his family line, Olaf Schubert doesn't have time for a girlfriend but dutifully searches for one when his father demands offspring.",Movie,TV-14
5435,Schulz Saves America,Comedian Andrew Schulz takes on the year's most divisive topics in this fearlessly unfiltered and irreverent four-part special.,TV Show,TV-MA
5436,Scissor Seven,"Seeking to recover his memory, a scissor-wielding, hairdressing, bungling quasi-assassin stumbles into a struggle for power among feuding factions.",TV Show,TV-14
5437,Scooby-Doo on Zombie Island,"When Daphne's TV show does a segment on real monsters, the gang fires up the Mystery Machine and heads to Moonscar Island, where zombies await.",Movie,TV-PG
5439,Scorpion King 5: Book of Souls,The Scorpion King joins forces with a Nubian princess in an all-or-nothing fight to stop a warlord from claiming the souls of the vanquished.,Movie,PG-13
5440,Scott Pilgrim vs. the World,"Dreamy delivery girl Ramona captures Scott Pilgrim's heart, but he must vanquish all seven of her evil exes in martial arts battles to win her love.",Movie,PG-13
5441,Scream,"In this new TV series sequel to the classic horror franchise, a cyberbullying incident in Lakewood leads to a murder with chilling echoes of the past.",TV Show,TV-MA
5442,Scream 2,"Gale has written a best-seller which has been turned into a film. As the movie premiere looms closer, the mysterious deaths begin again.",Movie,R
5443,Scream 3,"This installment of the tongue-in-cheek horror franchise finds Sidney Prescott once again battling a crazed killer – this time, on a movie set.",Movie,R
5444,Screwball,A steroid peddler explains how he went from an unlicensed anti-aging expert to the point man for the biggest scandal in baseball history.,Movie,TV-MA
5445,SDU: Sex Duties Unit,Four man-children in an elite tactical unit gallivant around Macau for a weekend of debauchery that gets them in trouble with the law.,Movie,TV-MA
5446,Señora Acero,"When her drug-trafficking husband dies, an unassuming woman stakes her own claim in the business in order to care for her gravely ill son.",TV Show,TV-MA
5447,Seal Team Six: The Raid on Osama Bin Laden,"In this dramatic recreation, U.S. Navy SEAL Team 6 trains for a critical mission, then executes a tough nighttime raid on Osama Bin Laden's compound.",Movie,TV-MA
5448,Search Party,"Two guys hope to reunite their friend with his runaway bride, unaware that he's been carjacked, stripped and stranded in the Mexican desert.",Movie,R
5450,Searching for Sugar Man,"Decades after Detroit singer-songwriter Rodriguez disappeared following the commercial failure of his albums, two fans try to track down their idol.",Movie,PG-13
5451,Season of the Witch,A group of weary warriors transport a suspected witch believed to be responsible for spreading the devastating Black Plague.,Movie,PG-13
5452,Sebastián Marcelo Wainraich,"Argentine comedian Sebastián Wainraich highlights the comedy in everyday life, from minibars to reasons why funerals are better than weddings.",Movie,TV-MA
5453,Sebastian Maniscalco: Stay Hungry,"Sebastian Maniscalco brings an acerbically unique approach to peacocks on planes, life hacks, rich in-laws and life's annoyances in this comedy special.",Movie,TV-MA
5454,Sebastian Maniscalco: What's Wrong with People?,"With his uproarious tirade on modern behavior and decorum, the popular comic tackles the question we've all asked in this hilarious standup special.",Movie,TV-MA
5455,Sebastian Maniscalco: Why Would You Do That,"Sebastian Maniscalco delivers an expressive stand-up at the legendary Beacon Theatre on Whole Foods, family nicknames and dodging obnoxious neighbors.",Movie,TV-MA
5456,Second 20s,"Facing major changes, a mother realizes it's time to live for herself and decides to enroll in college, where she finds her dream as well as new love.",TV Show,TV-14
5457,Secret,"Enchanted by a pretty pianist and the haunting melody she plays, a musical prodigy falls in love. But a secret soon threatens to derail their romance.",Movie,TV-PG
5458,Secret Affair,"A married middle-aged woman is swept off her feet, both romantically and artistically, by a gifted young pianist.",TV Show,TV-14
5459,Secret City,A student's protest leads to a government scandal that has personal and professional repercussions for one of Australia's toughest journalists.,TV Show,TV-MA
5460,Secret in Their Eyes,"A former FBI investigator reopens the haunting 13-year-old murder case of his colleague, only to uncover shocking truths hidden since then.",Movie,PG-13
5461,Secret Obsession,"When Jennifer wakes up with amnesia after a traumatic attack, her doting husband cares for her. But she soon realizes the danger is far from over.",Movie,TV-14
5462,Secret of Success,An aspiring actor uses a magical book to transport himself inside the movies he had always dreamed of starring in – but not without consequences.,TV Show,TV-14
5463,Secret of the Nile,"When his sister disappears while working at the Grand Hotel, a man joins the staff to get answers. Inside its posh walls, he finds love and intrigue.",TV Show,TV-14
5464,Secret Superstar,A talented teenage singer-songwriter living amid domestic abuse becomes a YouTube sensation after a video in which she hides her identity goes viral.,Movie,TV-14
5465,Secreto bien guardado,"In 1940 Argentina, a Jewish 17-year-old on vacation with her family falls in love with a young Nazi lawyer staying at the same hotel.",TV Show,TV-MA
5466,Secrets in the Hot Spring,"When three teen outcasts arrive at a hot springs hotel to help run things, creepy incidents prompt comical efforts to find what lurks in their midst.",Movie,TV-14
5467,Secrets of Althorp - The Spencers,"Princess Diana's brother, Charles, the ninth Earl Spencer, leads a tour of Althorp House, the manor the Spencer family has called home for 500 years.",Movie,TV-PG
5468,Secrets of Chatsworth,"Tales of tragedy and scandal unfold through the history of Chatsworth, a grand estate that has been home to some of England's most noted aristocrats.",Movie,TV-PG
5469,Secrets of Great British Castles,Join historian Dan Jones on a journey back in time to the zenith of Britain's most iconic structures and their infamous inhabitants.,TV Show,TV-PG
5470,Secrets of Henry VIII's Palace: Hampton Court,The history of this grand 500-year-old palace is inextricably tied to the lavish lifestyle of King Henry VIII and the doomed fates of his six wives.,Movie,TV-PG
5471,Secrets of Her Majesty's Secret Service,"This documentary spotlights more than 100 years of operatives and operations in the U.K.'s secret service, the world's oldest intelligence agency.",Movie,TV-PG
5472,Secrets of Highclere Castle,"Known as the setting of ""Downton Abbey,"" Highclere Castle truly was the home of aristocrats and an army of servants, with a rich past to share.",Movie,TV-PG
5473,Secrets of Scotland Yard,"Revisit famous cases and explore the history of Scotland Yard, one of the world's oldest detective forces and a name synonymous with crime solving.",Movie,TV-14
5474,Secrets of Selfridges,American Harry Gordon Selfridge introduced Londoners to a new retail model that made shopping less of a practical pursuit and more of an adventure.,Movie,TV-PG
5475,Secrets of the Saqqara Tomb,"After unearthing a tomb that had been untouched for 4,400 years, Egyptian archaeologists attempt to decipher the history of the extraordinary find.",Movie,TV-PG
5476,Secrets of the Tower of London,"Explore the storied history of the iconic Tower of London as it evolved from a royal castle into a dungeon prison and, finally, an armory and mint.",Movie,TV-PG
5477,Secrets of Underground London,"Experts examine the ruins and relics hidden beneath London's surface, unearthing a Roman amphitheater, plague pits, air raid shelters and more.",Movie,TV-PG
5478,Secrets of Westminster,"Take an insider's tour of Parliament, Big Ben and Westminster Abbey to discover the little-known history and pageantry of these famous buildings.",Movie,TV-PG
5479,Security,"After taking a job as a mall security guard, a former Marine steps up to protect a young girl who's being hunted by heavily armed mercenaries.",Movie,R
5480,See You in Time,A series of mysterious text messages from the future sends ripples through the lives of a delivery woman and an accomplished cyclist.,TV Show,TV-14
5481,See You Yesterday,"As two teen prodigies try to master the art of time travel, a tragic police shooting sends them on a series of dangerous trips to the past.",Movie,TV-MA
5482,Seeing Allred,"Explore the public and private sides of feminist firebrand attorney Gloria Allred, who's battled some of the biggest names in politics and business.",Movie,TV-14
5483,Sei,"An aspiring yet aimless actor takes over his ailing father's job as an ambulance driver, unwittingly getting involved in an organ-trafficking network.",Movie,TV-14
5484,Seis Manos,"Orphans raised by a martial arts master are plunged into a mystery involving demonic powers, drug cartels, ancient rituals and blood sacrifice.",TV Show,TV-MA
5485,Selection Day,Two teen cricket prodigies struggle against their overbearing father and a system stacked against them to realize their own ambitions and identities.,TV Show,TV-14
5486,Selena: The Series,Iconic Mexican-American performer Selena rises to fame as she and her family make sacrifices in order to achieve their lifelong dreams.,TV Show,TV-PG
5487,Self Made: Inspired by the Life of Madam C.J. Walker,An African American washerwoman rises from poverty to build a beauty empire and become the first female self-made millionaire. Based on a true story.,TV Show,TV-MA
5488,Selfless,"A dying tycoon has his consciousness transplanted into the body of a healthy young man, only to make a troubling discovery about the body's origin.",Movie,PG-13
5489,Selling Sunset,The elite real estate brokers at The Oppenheim Group sell the luxe life to affluent buyers in LA. The drama ramps up when a new agent joins the team.,TV Show,TV-MA
5490,Semana Santa,"A single mother, her boyfriend and her 8-year-old son take a weeklong resort vacation, during which secrets and relationship strains take their toll.",Movie,TV-MA
5491,Sen Kimsin?,"Desperate for cash, klutzy private investigator Tekin searches for a wealthy woman's missing girl but faces one surprise and mishap after another.",Movie,TV-14
5492,Senna,"This fast-paced documentary profiles Ayrton Senna, one of the greatest drivers in the history of Formula One racing, and a hero in his native Brazil.",Movie,PG-13
5493,Sense8,"From the creators of ""The Matrix"" and ""Babylon 5"" comes this tense series in which eight people can telepathically experience each other's lives.",TV Show,TV-MA
5494,Sensitive Skin,Davina and Al try to revamp their lives as they struggle with the uncertainties of middle age in this darkly comic adaptation of the British hit.,TV Show,TV-MA
5495,Seoul Searching,Teens of Korean descent who were born and raised in other countries travel to Seoul to learn about their cultural heritage at a summer camp in 1986.,Movie,TV-MA
5496,Septembers of Shiraz,"In post-revolution Tehran, a wealthy Jewish businessman is summarily jailed and tortured, but along with his wife, he fights for answers and freedom.",Movie,PG-13
5497,"Septiembre, un llanto en silencio","After a terrorist attack in Guatemala, a baby is rendered deaf and motherless and her father is left to raise her alone.",Movie,TV-MA
5498,Sergio,"Passions, ideals and bitter realities collide as charismatic UN diplomat Sergio Vieira de Mello becomes trapped in a life-threatening situation in Iraq.",Movie,R
5499,Serial Killer with Piers Morgan,"Through intense prison interviews, Piers Morgan revisits the crimes of three convicted serial killers and learns more about their motives.",TV Show,TV-14
5500,Serious Men,"When a slum dweller spins a web of lies in pursuit of the upward mobility he has long craved, his ruse could be especially dangerous for his young son.",Movie,TV-MA
5501,Seriously Single,"While her free-living bestie urges her to embrace singlehood, a commitment-craving social media expert can't stop following the life of a former love.",Movie,TV-MA
5502,Servant of the People,"After a Ukrainian high school teacher's tirade against government corruption goes viral on social media, he finds himself the country's new president.",TV Show,TV-14
5503,Set It Up,"In desperate need of a break from the office, two beleaguered assistants team up to trick their workaholic bosses into falling in love.",Movie,TV-MA
5504,Set Off,"When a restaurant owner in Cyprus returns to Beijing to sign divorce papers, a drunk woman he encounters triggers a string of mishaps.",Movie,TV-MA
5505,Set Up,"A diamond heist goes horribly wrong, and the group of friends who sought to make a fortune must instead fight for their very survival.",Movie,R
5506,Seth Meyers: Lobby Baby,SNL alumnus and subversive master of late-night TV Seth Meyers comes out from behind the desk to share some lighthearted stories from his own life.,Movie,TV-MA
5507,Seth Rogen's Hilarity for Charity,"Seth Rogen and friends combine stand-up, sketches and music for an outrageous comedy special that could only come from the mind of Seth.",Movie,TV-MA
5508,SETHUM AAYIRAM PON,"Meeting after many years, a makeup artist and her grandmother revisit tensions from an old family feud that still hang heavy between them.",Movie,TV-MA
5509,Settai,"Asked to deliver a package for a friend, Madhu gets her fiancé, Jayaganthan, to take care of it, and he then passes the task to one of his roommates.",Movie,TV-14
5510,Seven (Tamil),"Multiple women report their husbands as missing but when it appears they are looking for the same man, a police officer traces their cryptic connection.",Movie,TV-MA
5511,Seven (Telugu),"Multiple women report their husbands as missing but when it appears they are looking for the same man, a police officer traces their cryptic connection.",Movie,TV-14
5512,Seven and a half dates,"Engrossed in her career, a young woman reluctantly yields to her father's plan to set her up on 10 dates to find a suitable husband.",Movie,TV-14
5513,Seven and Me,A little girl discovers she’s the modern-day descendant of Snow White when seven dwarfs arrive at her suburban home to serve as her guardian angels.,TV Show,TV-Y
5514,Seven in Heaven,Two teenagers step into a secret closet and emerge in a terrifying alternate reality. They must find their way back before the door shuts forever.,Movie,PG-13
5515,Seven Pounds,"Weighed down by a dark secret, IRS agent Ben Thomas tries to improve the lives of seven strangers in need of a second chance.",Movie,PG-13
5516,Seven Seconds,The death of a 15-year-old African American boy in Jersey City sets off a police cover-up and a search for the truth.,TV Show,TV-MA
5517,Seven Sundays,"A dying father asks his busy and grown children to spend their Sundays with him, forcing his family to confront their issues before it's too late.",Movie,TV-MA
5518,Seventeen,"To find his therapy dog, a 17-year-old escapes from juvie and embarks on a journey of reconnection with his brother and grandmother through Cantabria.",Movie,TV-MA
5519,Seventh Son,"In the 18th century, apprentice exorcist Tom Ward is the lynchpin in a battle between good and evil when imprisoned witch Mother Malkin escapes.",Movie,PG-13
5520,Sex and the City 2,"Best friends Carrie, Miranda, Samantha and Charlotte take a break from their busy New York lives for an all-expenses-paid luxury vacation to Abu Dhabi.",Movie,R
5521,Sex and the City: The Movie,"When Carrie's big step forward in her relationship goes awry, best friends Charlotte, Miranda and Samantha are there to help her pick up the pieces.",Movie,R
5523,Sex Drive,"Eager to hook up with a woman he met online, 18-year-old Ian embarks on an epic road trip that speeds straight toward trouble in this raunchy comedy.",Movie,R
5524,Sex Education,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",TV Show,TV-MA
5525,"Sex, Explained","From the biology of attraction to the history of birth control, explore the ins and outs of sex in this entertaining and enlightening series.",TV Show,TV-MA
5526,"Sexo, Pudor y Lagrimas","Passions flare and alliances form when neighbors Ana and Miguel each start an affair with former lovers, right under their spouses' noses.",Movie,R
5527,Sextuplets,"When a dad-to-be learns he's actually a sextuplet, he sets off on a wild journey to meet his long-lost family. Marlon Wayans stars as all six siblings.",Movie,TV-14
5528,Sexy Central,"In the bustling center of Hong Kong, five young women reckon with betrayal, unrequited love and other matters of the heart.",TV Show,TV-MA
5529,SGT. Will Gardner,"A homeless vet who has PTSD steals a motorcycle and hits the road, trying to sort out what life means now that war is in the rear-view mirror.",Movie,TV-MA
5530,Shéhérazade,"Fresh out of juvenile detention in Marseille, 17-year-old Zach falls for a young prostitute and soon faces a dire dilemma while working as a pimp.",Movie,TV-MA
5531,Shabd,"When a novelist seeks inspiration by urging his wife to have an affair, the line between his story and his real life grows disconcertingly blurry.",Movie,TV-14
5532,Shadow,"As three kingdoms struggle for control of a walled city, a figure with a rare power spins a web of intrigue that entangles a king's court.",Movie,TV-14
5533,Shadow of Truth,This documentary series explores the explosive 2006 murder case of a 13-year-old Israeli girl and the subsequent conviction of a Ukrainian immigrant.,TV Show,TV-MA
5534,Shahanpan Dega Deva,"At large in the city, five inmates of a mental asylum run up against the insanity of the outside world while trying to prevent a terrorist plot.",Movie,TV-14
5535,Shaitan,"When they're blackmailed after a hit-and-run, a troubled rich girl and her wild friends stage a fake kidnapping with a plan to collect the ransom.",Movie,TV-MA
5536,Shaka Zulu,"This miniseries recounts the early 19th-century conflict between the expanding British Empire in Africa and Shaka, the leader of the vast Zulu Nation.",TV Show,TV-14
5537,Shakti: The Power,A young mother must break free of the clutches of her husband's feudal family and bring herself and her young child to safety.,Movie,TV-MA
5538,Shameless (U.S.),This dramedy based on a British series centers on siblings in a dysfunctional Chicago family who struggle while coping with their alcoholic father.,TV Show,TV-MA
5539,Shanghai,Three disparate characters uncover government corruption as a small Indian town receives an influx of foreign money to turn it into the next Shanghai.,Movie,TV-14
5540,Shanghai Fortress,A young man falls for a heroic general and soon follows her footsteps as humans defend Earth against extraterrestrials seeking a precious energy source.,Movie,TV-14
5541,Shararat,"Unable to bribe his way out of a reckless driving charge, an arrogant rich kid is sentenced to community service at a home for senior citizens.",Movie,TV-PG
5542,Shark Busters,"Hit by a media storm over his own mounting debts, a police officer leads an investigation against the loan sharks behind a sinister credit scheme.",Movie,TV-14
5543,Shark Night,A weekend of beach-house debauchery turns into a nightmare for a group of friends when they discover that the waters are infested with vicious sharks.,Movie,PG-13
5544,Shattered Memories,"When her former lover's mysteriously murdered, a woman must clear her name – and avoid the killer.",Movie,TV-14
5545,Shaun the Sheep,"Join freewheeling Shaun for barnyard misadventures with his cousin Timmy, giant sheepdog Bitzer, jealous cat Pidsley and fellow sheep Shirley.",TV Show,TV-Y
5547,Shaun the Sheep: The Farmer’s Llamas,"A trio of mischievous llamas from the county fair start making a mess of the farm, so Shaun and the flock must find a way to boot out the troublemakers.",Movie,TV-Y
5548,Shaurya: It Takes Courage to Make Right... Right,Courtroom intrigue plays out against a backdrop of military secrets in this Bollywood drama with a plot that's reminiscent of A Few Good Men.,Movie,TV-14
5549,Shawn Mendes: In Wonder,"Over the course of a world tour, this unguarded documentary follows Shawn Mendes as he opens up about his stardom, relationships and musical future.",Movie,TV-MA
5550,Shawn Mendes: Live in Concert,"In his hometown of Toronto, Shawn Mendes pours his heart out on stage with a live performance in a stadium packed with adoring fans.",Movie,TV-PG
5551,She,An undercover assignment to expose a drug ring becomes a timid Mumbai constable’s road to empowerment as she realizes her dormant sexuality's potential.,TV Show,TV-MA
5552,She Did That,"Go inside the lives of extraordinary, black female entrepreneurs as they discuss building legacies and pioneering a new future for the next generation.",Movie,TV-PG
5553,She Made Me a Criminal,"In order to get her trust fund money from her wealthy but miserly father, a woman enlists a naive young man to help fake her own kidnapping.",Movie,TV-14
5555,She's Dating the Gangster,"To make another woman jealous, a campus heartthrob asks a fellow student to be his pretend girlfriend, but fate has other plans for the fake couple.",Movie,TV-14
5556,She's Gotta Have It,Nola Darling struggles to stay true to herself and her dreams while juggling three lovers in this Spike Lee series based on his breakout film.,TV Show,TV-MA
5557,She's Out of My League,"When average-guy Kirk starts dating drop-dead-gorgeous Molly, his friends don't see it lasting, so Kirk does everything he can to avoid losing Molly.",Movie,R
5558,She's the One,"When his best friend gets stranded in the rain and becomes the subject of a romantic viral video, a morning show host must confront his true feelings.",Movie,TV-14
5559,Shelby American,"Featuring interviews and vintage footage, this documentary traces American icon Carroll Shelby's life of reinvention from farmer to racer to entrepreneur.",Movie,TV-MA
5560,Shelter,A forensic psychiatrist has to think outside the box when she takes on a patient whose multiple personalities lead to a trail of murder victims.,Movie,R
5561,Shepherds and Butchers,"When a young prison guard commits murder in South Africa, an ardent lawyer aims to prove he was psychologically unbalanced by his role in executions.",Movie,R
5562,Sherlock,"In this updated take on Sir Arthur Conan Doyle's beloved mystery tales, the eccentric sleuth prowls the streets of modern London in search of clues.",TV Show,TV-14
5563,Sherlock Holmes,The game is afoot for an eccentric detective who must use his brains and brawn to track down a nefarious nemesis with the help of his partner.,Movie,PG-13
5564,Shikari,"When Shankar, who performs on the road with partner Chanchal and elephant Appu, falls for a Russian circus performer, jealousies and conflicts arise.",Movie,TV-14
5565,Shimla Mirchi,"A young man who gets tongue-tied around women writes a love letter to his crush, but it ends up in the hands of her mother, who thinks it's for her.",Movie,TV-14
5566,Shimmer Lake,"Unfolding in reverse time, this darkly comic crime thriller follows a local sheriff hunting three bank robbery suspects, one of whom is his brother.",Movie,TV-MA
5567,Shine On with Reese,"In a talk show straight from the heart, actor and producer Reese Witherspoon visits with groundbreaking women to discuss their inspiring journeys.",TV Show,TV-MA
5568,Shine Your Eyes,"A Nigerian musician travels to Brazil to search for his estranged brother, who is living a life very different than the one his family thought.",Movie,TV-MA
5569,Shirkers,"In 1992, Sandi Tan and her friends shot a quirky film on the streets of Singapore. Then the footage disappeared, sending her on a hunt for answers.",Movie,TV-14
5570,Shiva,"A young man enrolls at a college and becomes a rival to the student-union president, who’s using force and intimidation to advance his criminal agenda.",Movie,TV-MA
5571,Shonar Pahar,An older woman's unique friendship with a young boy inspires her to examine the strained relationship she shares with her married son.,Movie,TV-PG
5572,Shooter,"A highly decorated ex-Marine sniper returns to action to foil an assassination plot targeting the president, but soon finds himself framed for murder.",TV Show,TV-14
5574,Shopkins,"Tiny grocery store items come to life as the Shopkins, who have fun adventures with each other at Small Mart and the magical town called Shopville.",TV Show,TV-Y
5575,Shopkins: Chef Club,"In this first full Shopkins movie, Peppa-Mint is the new Shoppie in town who stirs things up by hosting a team cooking competition.",Movie,TV-Y
5576,Shopkins: Wild,Beloved movie star Scarletta Gateau visits Shopville and recruits the Shopkins for a quest through the jungle to the mysterious world of Pawville.,Movie,TV-Y
